01_TB_HOKKAIDO,02_TB_AOMORI,03_TB_IWATE,04_TB_MIYAGI,05_TB_AKITA,06_TB_YAMAGATA,07_TB_FUKUSHIMA,08_TB_IBARAGI,09_TB_TOCHIGI,10_TB_GUNNMA,11_TB_SAITAMA,12_TB_CHIBA,13_TB_TOKYO,14_TB_KANAGAWA,15_TB_NIIGATA,16_TB_TOYOAMA,17_TB_ISHIKAWA,18_TB_FUKUI,19_TB_YAMANASHI,20_TB_NAGANO,21_TB_GIFU,22_TB_SHIZUOKA,23_TB_AICHI,24_TB_MIE,25_TB_SHIGA,26_TB_KYOTO,27_TB_OSAKA,28_TB_HYOGO,29_TB_NARA,30_TB_WAKAYAMA,31_TB_TOTTORI,32_TB_SHIMANE,33_TB_OKAYAMA,34_TB_HIROSHIMA,35_TB_YAMAGUCHI,36_TB_TOKUSHIMA,37_TB_KAGAWA,38_TB_EHIME,39_TB_KOCHI,40_TB_FUKUOKA,41_TB_SAGA,42_TB_NAGASAKI,43_TB_KUMAMOTO,44_TB_OITA,45_TB_MIYAZAKI,46_TB_KAGOSHIMA,47_TB_OKINAWA,Date
85,38,24,26,14,8,23,41,36,33,138,101,301,187,46,16,22,18,8,17,44,58,181,38,13,72,389,151,34,23,11,16,44,63,25,15,17,30,17,99,14,21,32,32,16,38,32,Jan-01
76,32,17,31,11,13,30,41,41,20,111,94,289,159,27,25,8,15,14,29,60,65,161,17,14,49,347,149,36,18,5,13,27,72,31,16,22,22,14,120,14,26,24,26,23,46,30,Feb-01
94,31,25,28,16,26,39,46,34,30,150,110,328,184,42,21,26,12,11,26,53,70,155,41,23,59,379,153,38,26,10,17,40,50,25,27,24,28,23,151,16,43,40,21,40,39,33,Mar-01
83,34,14,36,20,9,32,46,39,16,123,104,357,178,48,21,19,9,11,27,50,64,179,38,25,63,365,149,41,20,8,12,33,52,41,11,21,18,15,116,19,31,32,27,20,37,30,Apr-01
93,38,21,38,25,18,42,52,39,39,152,118,358,165,47,22,30,14,14,20,57,81,214,37,32,66,412,191,43,24,10,15,37,61,25,27,31,30,25,148,21,49,31,27,21,44,37,May-01
95,29,23,47,23,11,28,73,34,33,129,135,395,224,40,20,22,19,12,29,74,68,186,34,28,61,422,220,54,40,13,11,47,58,40,33,23,27,28,153,18,61,29,50,34,49,30,Jun-01
103,28,21,37,22,16,33,71,45,46,143,143,408,198,51,25,23,16,14,28,42,82,195,46,36,68,411,183,41,43,11,19,48,70,34,26,39,38,21,125,11,54,41,32,22,44,23,Jul-01
104,28,25,37,20,15,37,68,33,39,155,124,366,228,57,28,27,12,17,31,71,96,213,38,36,72,377,203,45,24,14,14,37,68,46,25,26,33,26,144,10,43,33,33,20,54,39,Aug-01
94,25,21,36,30,15,36,46,37,29,119,95,286,187,45,25,24,18,7,20,42,65,185,38,21,54,368,146,32,24,8,15,31,35,32,21,24,21,18,116,19,43,47,31,20,53,33,Sep-01
124,32,21,36,21,18,36,62,36,32,150,127,344,190,48,24,22,17,15,35,43,71,188,46,20,64,411,167,36,34,19,16,48,52,34,24,21,29,20,146,16,54,54,31,34,51,28,Oct-01
